Observations,Producton,CDID,Time
4787.6,Building of ships and boats,JQR4,2012
4484.8,Building of ships and boats,JQR4,2013
4656.2,Building of ships and boats,JQR4,2014
4774.6,Building of ships and boats,JQR4,2015
4540.6,Building of ships and boats,JQR4,2016
1106.1,Building of ships and boats,JQR4,Q3 2015
1216.9,Building of ships and boats,JQR4,Q4 2015
964.4,Building of ships and boats,JQR4,Q1 2016
1623.8,Building of ships and boats,JQR4,Q2 2016
824.3,Building of ships and boats,JQR4,Q3 2016
1128.1,Building of ships and boats,JQR4,Q4 2016
1124.4,Building of ships and boats,JQR4,Q1 2017
1510.7,Building of ships and boats,JQR4,Q2 2017
1216.6,Building of ships and boats,JQR4,Q3 2017
338.7,Building of ships and boats,JQR4,Jul 2015
386.1,Building of ships and boats,JQR4,Aug 2015
381.3,Building of ships and boats,JQR4,Sep 2015
324.9,Building of ships and boats,JQR4,Oct 2015
339.6,Building of ships and boats,JQR4,Nov 2015
552.4,Building of ships and boats,JQR4,Dec 2015
233.0,Building of ships and boats,JQR4,Jan 2016
251.3,Building of ships and boats,JQR4,Feb 2016
480.1,Building of ships and boats,JQR4,Mar 2016
920.0,Building of ships and boats,JQR4,Apr 2016
356.0,Building of ships and boats,JQR4,May 2016
347.8,Building of ships and boats,JQR4,Jun 2016
233.2,Building of ships and boats,JQR4,Jul 2016
227.0,Building of ships and boats,JQR4,Aug 2016
364.1,Building of ships and boats,JQR4,Sep 2016
254.2,Building of ships and boats,JQR4,Oct 2016
312.9,Building of ships and boats,JQR4,Nov 2016
561.0,Building of ships and boats,JQR4,Dec 2016
229.1,Building of ships and boats,JQR4,Jan 2017
319.6,Building of ships and boats,JQR4,Feb 2017
575.7,Building of ships and boats,JQR4,Mar 2017
363.0,Building of ships and boats,JQR4,Apr 2017
322.6,Building of ships and boats,JQR4,May 2017
825.1,Building of ships and boats,JQR4,Jun 2017
310.6,Building of ships and boats,JQR4,Jul 2017
470.8,Building of ships and boats,JQR4,Aug 2017
435.2,Building of ships and boats,JQR4,Sep 2017
21632.8,Manufacture of air and spacecraft and related machinery,JQS8,2012
24556.8,Manufacture of air and spacecraft and related machinery,JQS8,2013
23227.9,Manufacture of air and spacecraft and related machinery,JQS8,2014
25425.3,Manufacture of air and spacecraft and related machinery,JQS8,2015
27401.9,Manufacture of air and spacecraft and related machinery,JQS8,2016
5633.2,Manufacture of air and spacecraft and related machinery,JQS8,Q3 2015
7392.4,Manufacture of air and spacecraft and related machinery,JQS8,Q4 2015
5697.7,Manufacture of air and spacecraft and related machinery,JQS8,Q1 2016
6897.4,Manufacture of air and spacecraft and related machinery,JQS8,Q2 2016
6443.6,Manufacture of air and spacecraft and related machinery,JQS8,Q3 2016
8363.2,Manufacture of air and spacecraft and related machinery,JQS8,Q4 2016
6984.0,Manufacture of air and spacecraft and related machinery,JQS8,Q1 2017
7904.9,Manufacture of air and spacecraft and related machinery,JQS8,Q2 2017
7113.8,Manufacture of air and spacecraft and related machinery,JQS8,Q3 2017
1913.5,Manufacture of air and spacecraft and related machinery,JQS8,Jul 2015
1715.4,Manufacture of air and spacecraft and related machinery,JQS8,Aug 2015
2004.3,Manufacture of air and spacecraft and related machinery,JQS8,Sep 2015
2243.1,Manufacture of air and spacecraft and related machinery,JQS8,Oct 2015
2113.0,Manufacture of air and spacecraft and related machinery,JQS8,Nov 2015
3036.3,Manufacture of air and spacecraft and related machinery,JQS8,Dec 2015
1579.7,Manufacture of air and spacecraft and related machinery,JQS8,Jan 2016
1801.9,Manufacture of air and spacecraft and related machinery,JQS8,Feb 2016
2316.1,Manufacture of air and spacecraft and related machinery,JQS8,Mar 2016
1896.1,Manufacture of air and spacecraft and related machinery,JQS8,Apr 2016
2401.2,Manufacture of air and spacecraft and related machinery,JQS8,May 2016
2600.1,Manufacture of air and spacecraft and related machinery,JQS8,Jun 2016
