Value,Identifier,Housing,Time Period
30.8,MV36,Public new housing,1997
44.8,MV37,Private new housing,1997
42.6,MVL7,Total new housing,1997
61.2,MV38,Infrastructure new work,1997
57.6,MV39,Public other new work,1997
152.1,MV3A,Private industrial new work,1997
84.3,MV3B,Private commercial new work,1997
63.5,MV3C,All new work,1997
124.1,MV3D,Public housing R&M,1997
93,MV3E,Private housing R&M,1997
101.8,MV3F,Total housing R&M,1997
79.2,MV3G,Non housing R&M,1997
89.3,MV3H,All R&M,1997
72,MV3I,All work,1997
24.9,MV36,Public new housing,1998
21.6,MV36,Public new housing,1999
27.1,MV36,Public new housing,2000
27.7,MV36,Public new housing,2001
31.4,MV36,Public new housing,2002
35.7,MV36,Public new housing,2003
42.9,MV36,Public new housing,2004
40.3,MV36,Public new housing,2005
47.6,MV36,Public new housing,2006
54.9,MV36,Public new housing,2007
49.6,MV36,Public new housing,2008
50.6,MV36,Public new housing,2009
79.2,MV36,Public new housing,2010
81.2,MV36,Public new housing,2011
67.8,MV36,Public new housing,2012
71.9,MV36,Public new housing,2013
95.3,MV36,Public new housing,2014
79.9,MV36,Public new housing,2015
75.9,MV36,Public new housing,2016
88.4,MV36,Public new housing,2017
86.1,MV36,Public new housing,2018
100,MV36,Public new housing,2019
67.4,MV36,Public new housing,2020
73,MV36,Public new housing,2021
76.4,MV36,Public new housing,2022
29.9,MV36,Public new housing,Jan to Mar 1997
32,MV36,Public new housing,Apr to June 1997
33,MV36,Public new housing,July to Sept 1997
28.1,MV36,Public new housing,Oct to Dec 1997
26.9,MV36,Public new housing,Jan to Mar 1998
25.9,MV36,Public new housing,Apr to June 1998
23.8,MV36,Public new housing,July to Sept 1998
23,MV36,Public new housing,Oct to Dec 1998
21.6,MV36,Public new housing,Jan to Mar 1999
19.9,MV36,Public new housing,Apr to June 1999
21.4,MV36,Public new housing,July to Sept 1999
23.5,MV36,Public new housing,Oct to Dec 1999
26,MV36,Public new housing,Jan to Mar 2000
26.8,MV36,Public new housing,Apr to June 2000
26.8,MV36,Public new housing,July to Sept 2000
28.7,MV36,Public new housing,Oct to Dec 2000
24,MV36,Public new housing,Jan to Mar 2001
29,MV36,Public new housing,Apr to June 2001
27.8,MV36,Public new housing,July to Sept 2001
30.1,MV36,Public new housing,Oct to Dec 2001
31.2,MV36,Public new housing,Jan to Mar 2002
30.5,MV36,Public new housing,Apr to June 2002
32.2,MV36,Public new housing,July to Sept 2002
31.8,MV36,Public new housing,Oct to Dec 2002
33.1,MV36,Public new housing,Jan to Mar 2003
