Value,Identifier,Construction,Time Period,Adjustment
30.8,MV36,Public new housing,1997,Seasonally Adjusted
44.8,MV37,Private new housing,1997,Seasonally Adjusted
42.6,MVL7,Total new housing,1997,Seasonally Adjusted
61.2,MV38,Infrastructure new work,1997,Seasonally Adjusted
57.6,MV39,Public other new work,1997,Seasonally Adjusted
152.1,MV3A,Private industrial new work,1997,Seasonally Adjusted
84.3,MV3B,Private commercial new work,1997,Seasonally Adjusted
63.5,MV3C,All new work,1997,Seasonally Adjusted
124.1,MV3D,Public housing R&M,1997,Seasonally Adjusted
93,MV3E,Private housing R&M,1997,Seasonally Adjusted
101.8,MV3F,Total housing R&M,1997,Seasonally Adjusted
79.2,MV3G,Non housing R&M,1997,Seasonally Adjusted
89.3,MV3H,All R&M,1997,Seasonally Adjusted
72,MV3I,All work,1997,Seasonally Adjusted
24.9,MV36,Public new housing,1998,Seasonally Adjusted
21.6,MV36,Public new housing,1999,Seasonally Adjusted
27.1,MV36,Public new housing,2000,Seasonally Adjusted
27.7,MV36,Public new housing,2001,Seasonally Adjusted
31.4,MV36,Public new housing,2002,Seasonally Adjusted
35.7,MV36,Public new housing,2003,Seasonally Adjusted
42.9,MV36,Public new housing,2004,Seasonally Adjusted
40.3,MV36,Public new housing,2005,Seasonally Adjusted
47.6,MV36,Public new housing,2006,Seasonally Adjusted
54.9,MV36,Public new housing,2007,Seasonally Adjusted
49.6,MV36,Public new housing,2008,Seasonally Adjusted
50.6,MV36,Public new housing,2009,Seasonally Adjusted
79.2,MV36,Public new housing,2010,Seasonally Adjusted
81.2,MV36,Public new housing,2011,Seasonally Adjusted
67.8,MV36,Public new housing,2012,Seasonally Adjusted
71.9,MV36,Public new housing,2013,Seasonally Adjusted
95.3,MV36,Public new housing,2014,Seasonally Adjusted
79.9,MV36,Public new housing,2015,Seasonally Adjusted
75.9,MV36,Public new housing,2016,Seasonally Adjusted
88.4,MV36,Public new housing,2017,Seasonally Adjusted
86.1,MV36,Public new housing,2018,Seasonally Adjusted
100,MV36,Public new housing,2019,Seasonally Adjusted
67.4,MV36,Public new housing,2020,Seasonally Adjusted
73,MV36,Public new housing,2021,Seasonally Adjusted
76.4,MV36,Public new housing,2022,Seasonally Adjusted
29.9,MV36,Public new housing,Jan to Mar 1997,Seasonally Adjusted
32,MV36,Public new housing,Apr to June 1997,Seasonally Adjusted
33,MV36,Public new housing,July to Sept 1997,Seasonally Adjusted
28.1,MV36,Public new housing,Oct to Dec 1997,Seasonally Adjusted
26.9,MV36,Public new housing,Jan to Mar 1998,Seasonally Adjusted
25.9,MV36,Public new housing,Apr to June 1998,Seasonally Adjusted
23.8,MV36,Public new housing,July to Sept 1998,Seasonally Adjusted
23,MV36,Public new housing,Oct to Dec 1998,Seasonally Adjusted
21.6,MV36,Public new housing,Jan to Mar 1999,Seasonally Adjusted
19.9,MV36,Public new housing,Apr to June 1999,Seasonally Adjusted
21.4,MV36,Public new housing,July to Sept 1999,Seasonally Adjusted
23.5,MV36,Public new housing,Oct to Dec 1999,Seasonally Adjusted
26,MV36,Public new housing,Jan to Mar 2000,Seasonally Adjusted
26.8,MV36,Public new housing,Apr to June 2000,Seasonally Adjusted
26.8,MV36,Public new housing,July to Sept 2000,Seasonally Adjusted
28.7,MV36,Public new housing,Oct to Dec 2000,Seasonally Adjusted
24,MV36,Public new housing,Jan to Mar 2001,Seasonally Adjusted
29,MV36,Public new housing,Apr to June 2001,Seasonally Adjusted
