Value,Housing,Area,Area Code,Year,Quarter
77360,New dwellings,United Kingdom,K02000001,1992.0,Q2
60210,Other dwellings,United Kingdom,K02000001,1992.0,Q2
62255,All dwellings,United Kingdom,K02000001,1992.0,Q2
46919,First time buyers,United Kingdom,K02000001,1992.0,Q2
76988,Former owner occupiers,United Kingdom,K02000001,1992.0,Q2
69893,New dwellings,United Kingdom,K02000001,1992.0,Q3
62513,Other dwellings,United Kingdom,K02000001,1992.0,Q3
63712,All dwellings,United Kingdom,K02000001,1992.0,Q3
48578,First time buyers,United Kingdom,K02000001,1992.0,Q3
79493,Former owner occupiers,United Kingdom,K02000001,1992.0,Q3
70043,New dwellings,United Kingdom,K02000001,1992.0,Q4
57193,Other dwellings,United Kingdom,K02000001,1992.0,Q4
59230,All dwellings,United Kingdom,K02000001,1992.0,Q4
44831,First time buyers,United Kingdom,K02000001,1992.0,Q4
76992,Former owner occupiers,United Kingdom,K02000001,1992.0,Q4
72700,New dwellings,United Kingdom,K02000001,1993.0,Q1
58345,Other dwellings,United Kingdom,K02000001,1993.0,Q1
60213,All dwellings,United Kingdom,K02000001,1993.0,Q1
46300,First time buyers,United Kingdom,K02000001,1993.0,Q1
77787,Former owner occupiers,United Kingdom,K02000001,1993.0,Q1
73289,New dwellings,United Kingdom,K02000001,1993.0,Q2
60196,Other dwellings,United Kingdom,K02000001,1993.0,Q2
61895,All dwellings,United Kingdom,K02000001,1993.0,Q2
48566,First time buyers,United Kingdom,K02000001,1993.0,Q2
78151,Former owner occupiers,United Kingdom,K02000001,1993.0,Q2
73285,New dwellings,United Kingdom,K02000001,1993.0,Q3
61941,Other dwellings,United Kingdom,K02000001,1993.0,Q3
63742,All dwellings,United Kingdom,K02000001,1993.0,Q3
47954,First time buyers,United Kingdom,K02000001,1993.0,Q3
81710,Former owner occupiers,United Kingdom,K02000001,1993.0,Q3
73460,New dwellings,United Kingdom,K02000001,1993.0,Q4
60463,Other dwellings,United Kingdom,K02000001,1993.0,Q4
62596,All dwellings,United Kingdom,K02000001,1993.0,Q4
47475,First time buyers,United Kingdom,K02000001,1993.0,Q4
79860,Former owner occupiers,United Kingdom,K02000001,1993.0,Q4
72892,New dwellings,United Kingdom,K02000001,1994.0,Q1
60070,Other dwellings,United Kingdom,K02000001,1994.0,Q1
62024,All dwellings,United Kingdom,K02000001,1994.0,Q1
46283,First time buyers,United Kingdom,K02000001,1994.0,Q1
