Observation,Measure,Measure,Area Code,Area,Year,Quarter
77360,New dwellings,New dwellings,K02000001,United Kingdom,1992,Q2
69893,New dwellings,New dwellings,K02000001,United Kingdom,1992,Q3
70043,New dwellings,New dwellings,K02000001,United Kingdom,1992,Q4
72700,New dwellings,New dwellings,K02000001,United Kingdom,1993,Q1
73289,New dwellings,New dwellings,K02000001,United Kingdom,1993,Q2
73285,New dwellings,New dwellings,K02000001,United Kingdom,1993,Q3
73460,New dwellings,New dwellings,K02000001,United Kingdom,1993,Q4
72892,New dwellings,New dwellings,K02000001,United Kingdom,1994,Q1
74421,New dwellings,New dwellings,K02000001,United Kingdom,1994,Q2
74310,New dwellings,New dwellings,K02000001,United Kingdom,1994,Q3
76852,New dwellings,New dwellings,K02000001,United Kingdom,1994,Q4
74752,New dwellings,New dwellings,K02000001,United Kingdom,1995,Q1
78330,New dwellings,New dwellings,K02000001,United Kingdom,1995,Q2
81183,New dwellings,New dwellings,K02000001,United Kingdom,1995,Q3
82388,New dwellings,New dwellings,K02000001,United Kingdom,1995,Q4
81066,New dwellings,New dwellings,K02000001,United Kingdom,1996,Q1
83339,New dwellings,New dwellings,K02000001,United Kingdom,1996,Q2
85408,New dwellings,New dwellings,K02000001,United Kingdom,1996,Q3
88928,New dwellings,New dwellings,K02000001,United Kingdom,1996,Q4
92139,New dwellings,New dwellings,K02000001,United Kingdom,1997,Q1
92370,New dwellings,New dwellings,K02000001,United Kingdom,1997,Q2
92896,New dwellings,New dwellings,K02000001,United Kingdom,1997,Q3
92726,New dwellings,New dwellings,K02000001,United Kingdom,1997,Q4
94401,New dwellings,New dwellings,K02000001,United Kingdom,1998,Q1
96669,New dwellings,New dwellings,K02000001,United Kingdom,1998,Q2
94050,New dwellings,New dwellings,K02000001,United Kingdom,1998,Q3
101809,New dwellings,New dwellings,K02000001,United Kingdom,1998,Q4
106469,New dwellings,New dwellings,K02000001,United Kingdom,1999,Q1
112110,New dwellings,New dwellings,K02000001,United Kingdom,1999,Q2
112616,New dwellings,New dwellings,K02000001,United Kingdom,1999,Q3
116114,New dwellings,New dwellings,K02000001,United Kingdom,1999,Q4
121017,New dwellings,New dwellings,K02000001,United Kingdom,2000,Q1
120507,New dwellings,New dwellings,K02000001,United Kingdom,2000,Q2
121866,New dwellings,New dwellings,K02000001,United Kingdom,2000,Q3
126260,New dwellings,New dwellings,K02000001,United Kingdom,2000,Q4
131248,New dwellings,New dwellings,K02000001,United Kingdom,2001,Q1
128342,New dwellings,New dwellings,K02000001,United Kingdom,2001,Q2
136620,New dwellings,New dwellings,K02000001,United Kingdom,2001,Q3
133938,New dwellings,New dwellings,K02000001,United Kingdom,2001,Q4
144766,New dwellings,New dwellings,K02000001,United Kingdom,2002,Q1
153349,New dwellings,New dwellings,K02000001,United Kingdom,2002,Q2
162951,New dwellings,New dwellings,K02000001,United Kingdom,2002,Q3
163688,New dwellings,New dwellings,K02000001,United Kingdom,2002,Q4
161373,New dwellings,New dwellings,K02000001,United Kingdom,2003,Q1
179293,New dwellings,New dwellings,K02000001,United Kingdom,2003,Q2
195626,New dwellings,New dwellings,K02000001,United Kingdom,2003,Q3
198188,New dwellings,New dwellings,K02000001,United Kingdom,2003,Q4
203835,New dwellings,New dwellings,K02000001,United Kingdom,2004,Q1
208054,New dwellings,New dwellings,K02000001,United Kingdom,2004,Q2
215261,New dwellings,New dwellings,K02000001,United Kingdom,2004,Q3
205263,New dwellings,New dwellings,K02000001,United Kingdom,2004,Q4
210836,New dwellings,New dwellings,K02000001,United Kingdom,2005,Q1
209872,New dwellings,New dwellings,K02000001,United Kingdom,2005,Q2
212554,New dwellings,New dwellings,K02000001,United Kingdom,2005,Q3
213401,New dwellings,New dwellings,K02000001,United Kingdom,2005,Q4
221511,New dwellings,New dwellings,K02000001,United Kingdom,2006,Q1
222294,New dwellings,New dwellings,K02000001,United Kingdom,2006,Q2
220973,New dwellings,New dwellings,K02000001,United Kingdom,2006,Q3
222399,New dwellings,New dwellings,K02000001,United Kingdom,2006,Q4
220956,New dwellings,New dwellings,K02000001,United Kingdom,2007,Q1
225845,New dwellings,New dwellings,K02000001,United Kingdom,2007,Q2
223938.68271141103,New dwellings,New dwellings,K02000001,United Kingdom,2007,Q3
226780.26338526848,New dwellings,New dwellings,K02000001,United Kingdom,2007,Q4
2267820523024556,New dwellings,New dwellings,K02000001,United Kingdom,2008,Q1
231784.64830531483,New dwellings,New dwellings,K02000001,United Kingdom,2008,Q2
223164978618091,New dwellings,New dwellings,K02000001,United Kingdom,2008,Q3
202934.27046633253,New dwellings,New dwellings,K02000001,United Kingdom,2008,Q4
192904.26625998935,New dwellings,New dwellings,K02000001,United Kingdom,2009,Q1
192122.56972023277,New dwellings,New dwellings,K02000001,United Kingdom,2009,Q2
203274.2547990774,New dwellings,New dwellings,K02000001,United Kingdom,2009,Q3
208362.49930906598,New dwellings,New dwellings,K02000001,United Kingdom,2009,Q4
209553.4217727175,New dwellings,New dwellings,K02000001,United Kingdom,2010,Q1
213500.140080279,New dwellings,New dwellings,K02000001,United Kingdom,2010,Q2
213709.52486558308,New dwellings,New dwellings,K02000001,United Kingdom,2010,Q3
217651.3669064527,New dwellings,New dwellings,K02000001,United Kingdom,2010,Q4
208197.4531953536,New dwellings,New dwellings,K02000001,United Kingdom,2011,Q1
220543.43698776225,New dwellings,New dwellings,K02000001,United Kingdom,2011,Q2
230624.30621662285,New dwellings,New dwellings,K02000001,United Kingdom,2011,Q3
233971.6684716657,New dwellings,New dwellings,K02000001,United Kingdom,2011,Q4
227222.15968688228,New dwellings,New dwellings,K02000001,United Kingdom,2012,Q1
2309051256626486,New dwellings,New dwellings,K02000001,United Kingdom,2012,Q2
231674.46503333337,New dwellings,New dwellings,K02000001,United Kingdom,2012,Q3
232433.69726666666,New dwellings,New dwellings,K02000001,United Kingdom,2012,Q4
228565.5812108321,New dwellings,New dwellings,K02000001,United Kingdom,2013,Q1
242077.40530059327,New dwellings,New dwellings,K02000001,United Kingdom,2013,Q2
242963.47594115612,New dwellings,New dwellings,K02000001,United Kingdom,2013,Q3
244503.46664814197,New dwellings,New dwellings,K02000001,United Kingdom,2013,Q4
262952.8711333333,New dwellings,New dwellings,K02000001,United Kingdom,2014,Q1
279400.56442457344,New dwellings,New dwellings,K02000001,United Kingdom,2014,Q2
282134.9751289745,New dwellings,New dwellings,K02000001,United Kingdom,2014,Q3
268730.6666666667,New dwellings,New dwellings,K02000001,United Kingdom,2014,Q4
266656.6666666667,New dwellings,New dwellings,K02000001,United Kingdom,2015,Q1
277400.6666666667,New dwellings,New dwellings,K02000001,United Kingdom,2015,Q2
281940.3333333333,New dwellings,New dwellings,K02000001,United Kingdom,2015,Q3
279436.32666666666,New dwellings,New dwellings,K02000001,United Kingdom,2015,Q4
2886540413296145,New dwellings,New dwellings,K02000001,United Kingdom,2016,Q1
282514.8565603232,New dwellings,New dwellings,K02000001,United Kingdom,2016,Q2
286679.22859739576,New dwellings,New dwellings,K02000001,United Kingdom,2016,Q3
301394.339765466,New dwellings,New dwellings,K02000001,United Kingdom,2016,Q4
