Value,Product,Year,Quarter,CDID
4787.6,Building of ships and boats,2012,All,JQR4
21632.8,Manufacture of air and spacecraft and related machinery,2012,All,JQS8
2162.2,Manufacture of other transport equipment,2012,All,JQU4
6722.5,Manufacture of furniture,2012,All,JQV2
8784.8,Other manufacturing,2012,All,JQV5
4484.8,Building of ships and boats,2013,All,JQR4
24556.8,Manufacture of air and spacecraft and related machinery,2013,All,JQS8
2487.0,Manufacture of other transport equipment,2013,All,JQU4
6821.2,Manufacture of furniture,2013,All,JQV2
9217.7,Other manufacturing,2013,All,JQV5
4656.2,Building of ships and boats,2014,All,JQR4
23227.9,Manufacture of air and spacecraft and related machinery,2014,All,JQS8
2417.0,Manufacture of other transport equipment,2014,All,JQU4
7661.3,Manufacture of furniture,2014,All,JQV2
9422.9,Other manufacturing,2014,All,JQV5
4774.6,Building of ships and boats,2015,All,JQR4
25425.3,Manufacture of air and spacecraft and related machinery,2015,All,JQS8
2293.0,Manufacture of other transport equipment,2015,All,JQU4
8011.8,Manufacture of furniture,2015,All,JQV2
8830.2,Other manufacturing,2015,All,JQV5
4540.6,Building of ships and boats,2016,All,JQR4
27401.9,Manufacture of air and spacecraft and related machinery,2016,All,JQS8
2381.1,Manufacture of other transport equipment,2016,All,JQU4
8472.3,Manufacture of furniture,2016,All,JQV2
9902.8,Other manufacturing,2016,All,JQV5
1106.1,Building of ships and boats,2015,Q3,JQR4
5633.2,Manufacture of air and spacecraft and related machinery,2015,Q3,JQS8
579.2,Manufacture of other transport equipment,2015,Q3,JQU4
2032.2,Manufacture of furniture,2015,Q3,JQV2
2194.0,Other manufacturing,2015,Q3,JQV5
1216.9,Building of ships and boats,2015,Q4,JQR4
7392.4,Manufacture of air and spacecraft and related machinery,2015,Q4,JQS8
543.3,Manufacture of other transport equipment,2015,Q4,JQU4
2075.8,Manufacture of furniture,2015,Q4,JQV2
2248.9,Other manufacturing,2015,Q4,JQV5
964.4,Building of ships and boats,2016,Q1,JQR4
5697.7,Manufacture of air and spacecraft and related machinery,2016,Q1,JQS8
603.5,Manufacture of other transport equipment,2016,Q1,JQU4
2014.8,Manufacture of furniture,2016,Q1,JQV2
2488.6,Other manufacturing,2016,Q1,JQV5
1623.8,Building of ships and boats,2016,Q2,JQR4
6897.4,Manufacture of air and spacecraft and related machinery,2016,Q2,JQS8
637.5,Manufacture of other transport equipment,2016,Q2,JQU4
2070.6,Manufacture of furniture,2016,Q2,JQV2
2433.5,Other manufacturing,2016,Q2,JQV5
824.3,Building of ships and boats,2016,Q3,JQR4
6443.6,Manufacture of air and spacecraft and related machinery,2016,Q3,JQS8
563.5,Manufacture of other transport equipment,2016,Q3,JQU4
2232.6,Manufacture of furniture,2016,Q3,JQV2
2407.6,Other manufacturing,2016,Q3,JQV5
1128.1,Building of ships and boats,2016,Q4,JQR4
8363.2,Manufacture of air and spacecraft and related machinery,2016,Q4,JQS8
576.6,Manufacture of other transport equipment,2016,Q4,JQU4
2154.3,Manufacture of furniture,2016,Q4,JQV2
2573.1,Other manufacturing,2016,Q4,JQV5
1124.4,Building of ships and boats,2017,Q1,JQR4
6984.0,Manufacture of air and spacecraft and related machinery,2017,Q1,JQS8
646.4,Manufacture of other transport equipment,2017,Q1,JQU4
2194.9,Manufacture of furniture,2017,Q1,JQV2
2722.0,Other manufacturing,2017,Q1,JQV5
1510.7,Building of ships and boats,2017,Q2,JQR4
7904.9,Manufacture of air and spacecraft and related machinery,2017,Q2,JQS8
706.2,Manufacture of other transport equipment,2017,Q2,JQU4
2081.7,Manufacture of furniture,2017,Q2,JQV2
2406.6,Other manufacturing,2017,Q2,JQV5
1216.6,Building of ships and boats,2017,Q3,JQR4
7113.8,Manufacture of air and spacecraft and related machinery,2017,Q3,JQS8
672.7,Manufacture of other transport equipment,2017,Q3,JQU4
2262.1,Manufacture of furniture,2017,Q3,JQV2
2562.4,Other manufacturing,2017,Q3,JQV5
338.7,Building of ships and boats,2015,Jul,JQR4
1913.5,Manufacture of air and spacecraft and related machinery,2015,Jul,JQS8
201.0,Manufacture of other transport equipment,2015,Jul,JQU4
714.3,Manufacture of furniture,2015,Jul,JQV2
738.7,Other manufacturing,2015,Jul,JQV5
386.1,Building of ships and boats,2015,Aug,JQR4
1715.4,Manufacture of air and spacecraft and related machinery,2015,Aug,JQS8
