Value,Year,Month,Seasonal Adjustment,Country
5831.281022512688,2018,Jan,NSA,All Countries
7450,2018,Jan,SA,All Countries
280.1873908239189,2018,Jan,NSA,North America
4324.568633619735,2018,Jan,NSA,Europe
3946.0897447298166,2018,Jan,NSA,Europe - European Union
750.0352467745454,2018,Jan,NSA,Europe - Other EU
3190.916896810225,2018,Jan,NSA,Europe - EU15
1226.524998069034,2018,Jan,NSA,Other countries
5071.372074023899,2018,Feb,NSA,All Countries
5689.649918024445,2018,Mar,NSA,All Countries
8018.324302902642,2018,Apr,NSA,All Countries
7602.596162808499,2018,May,NSA,All Countries
9025.529500458078,2018,Jun,NSA,All Countries
8746.304561772247,2018,Jul,NSA,All Countries
11532.915208424442,2018,Aug,NSA,All Countries
9643.89619830552,2018,Sep,NSA,All Countries
8654.781239710768,2018,Oct,NSA,All Countries
5700.356879928724,2018,Nov,NSA,All Countries
5053.611437258753,2018,Dec,NSA,All Countries
6149.158707144046,2019,Jan,NSA,All Countries
5537.55793211645,2019,Feb,NSA,All Countries
6472.777420667277,2019,Mar,NSA,All Countries
8406.458047220905,2019,Apr,NSA,All Countries
8227.846873140958,2019,May,NSA,All Countries
9125.36476257319,2019,Jun,NSA,All Countries
8646.905240183913,2019,Jul,NSA,All Countries
11627.657439731427,2019,Aug,NSA,All Countries
9724.967870253724,2019,Sep,NSA,All Countries
8434.26927736153,2019,Oct,NSA,All Countries
5682.9021876901625,2019,Nov,NSA,All Countries
5049.905976823658,2019,Dec,NSA,All Countries
5419.321772602557,2020,Jan,NSA,All Countries
5231.871561436594,2020,Feb,NSA,All Countries
3239.3434490113586,2020,Mar,NSA,All Countries
219.2520847864024,2020,Apr,NSA,All Countries
275.1372260407373,2020,May,NSA,All Countries
444.8094369377133,2020,Jun,NSA,All Countries
1359.8024150023,2020,Jul,NSA,All Countries
2759.1404098408,2020,Aug,NSA,All Countries
2071.7535994395002,2020,Sep,NSA,All Countries
1368.8280350343998,2020,Oct,NSA,All Countries
658.6233971306999,2020,Nov,NSA,All Countries
778.8298855942,2020,Dec,NSA,All Countries
124.05175648532173,2021,Jan *,NSA,All Countries
292.36445146715624,2021,Feb *,NSA,All Countries
